Destination,Length
10.142.143.142,4970
104.154.127.47,49
104.16.10.231,25
104.16.11.231,23
104.16.12.231,11
104.16.13.231,11
104.16.250.144,48
104.16.58.5,40
104.16.59.5,76
104.16.60.37,19078
104.244.42.129,42
104.244.42.2,41
108.177.98.188,154
12.129.210.52,5
13.107.3.128,9
13.65.244.143,5
13.89.220.65,234
144.217.66.26,9
151.101.129.63,28
151.101.188.193,53
151.101.189.140,83
151.101.194.49,21
151.101.65.140,20
198.189.255.139,10
198.189.255.199,10
198.189.255.214,288
198.189.255.215,693
199.59.148.73,41
204.102.114.48,12
216.58.194.206,4
216.98.54.23,235
216.98.62.75,87
216.98.62.76,31
23.203.225.32,6
23.203.227.141,11
23.203.227.178,48
23.203.229.97,13
2400:cb00:2048:1::6814:2a92,10
2400:cb00:2048:1::681c:26f,27
2600:1406:1a:381::11e2,24
2600:1406:1a:387::611,8
2600:1406:1a:38c::29a7,6
2600:1406:1a:393::611,8
2600:1406:1a:396::57,8
2600:1406:1a:397::29a7,6
2606:2800:220:1410:489:141e:20bb:12f6,7
2607:f140:400:a023:c4a0:6ac1:218d:34ca,27641
2607:f140:400:a023:e96f:45c9:4be7:981f,25
2607:f8b0:4005:80b::200a,3
2620:0:863:ed1a::1,5
2a03:2880:f009:e:face:b00c:0:3,12
2a03:2880:f00d:110:face:b00c:0:2,65
2a03:2880:f00d:115:face:b00c:0:3,1017
2a03:2880:f00d:13:face:b00c:0:1823,3165
2a03:2880:f00d:1:face:b00c:0:1,734
2a03:2880:f00d:8:face:b00c:0:1,2266
2a03:2880:f027:13:face:b00c:0:2,288
2a03:2880:f027:18:face:b00c:0:3,74
2a03:2880:f10d:183:face:b00c:0:25de,22
2a03:2880:f10d:83:face:b00c:0:25de,1602
2a03:2880:f10d:84:face:b00c:0:14c9,20
2a04:4e42:2d::403,26
34.193.227.251,50
34.200.200.221,172
34.206.211.125,69
34.233.195.79,3
34.236.89.191,12
35.186.224.47,125
40.77.226.249,57
40.78.29.78,20
52.0.133.149,99
52.109.12.20,7
52.151.59.184,6
52.232.69.150,11
52.4.106.84,71
52.5.27.146,13
52.70.3.66,5
54.202.63.209,616
54.210.203.42,9
54.227.152.143,120
54.230.147.188,150
54.236.152.205,8
54.89.186.156,21
64.4.54.253,40
64.4.54.254,59
72.21.91.29,10
